Epoch,Train Loss,Train Grad,Train Grad Var,Val Loss,FID_inf,MIFID_inf,KID_inf,IS_inf
0,25366.062,-0.0029940535,0.17470127,25083.44,509.61227,1583.9224,0.12097411,43712160.0
1,25052.447,0.00030796404,0.041732386,25047.256,488.77698,1432.1558,0.094917595,8375724500.0
2,25033.389,0.00013780453,0.02381495,25030.205,474.1691,1418.514,0.09078374,3864043800.0
3,25013.914,7.172202e-05,0.008730015,25021.291,463.0357,1338.9943,0.08754428,3807951400.0
4,25006.424,7.19772e-05,0.006240067,25019.36,455.7509,1285.4613,0.07793145,462011920000.0
5,24997.81,7.66095e-05,0.005288832,25009.174,451.54245,1231.903,0.0710935,2604994100000.0
6,24993.51,6.831149e-05,0.0049729184,24996.742,452.3155,1272.4376,0.071369834,14913534000000.0
7,24987.17,4.7186506e-05,0.004369604,24992.055,454.00616,1269.2828,0.0670691,14794563000000.0
8,24986.988,2.4053912e-05,0.004087271,24976.998,451.95023,1268.1562,0.068746716,24171375000000.0
9,24975.816,6.223398e-05,0.0038648464,24987.76,454.44168,1277.2361,0.06919425,6783199300000.0
