Epoch,Train Loss,Train Grad,Train Grad Var,Val Loss,Val Grad,Val Grad Var,FID_inf,MIFID_inf,KID_inf,IS_inf
0,4258.194,0.00095660664,0.6317899,2331.1501,0.0065565347,0.0721433,396.91513,1293.4958,0.13478015,46321.434
1,1920.0792,0.0006557189,0.03818296,1622.1602,-0.0077053993,0.030351304,490.93094,1633.448,0.14172281,496873250.0
2,1500.2085,-0.000105757834,0.019058714,1431.4655,0.0029471416,0.038014576,503.70828,1659.6643,0.14154807,1415840600.0
3,1341.9535,0.00023100551,0.015406007,1308.0214,0.0021653916,0.023174651,505.4249,1612.5272,0.13309023,8064259600.0
4,1294.06,0.00026729636,0.016738137,1316.1996,0.0027349761,0.020497907,514.50684,1567.1587,0.13204469,31953668000.0
5,1198.6217,0.00013084302,0.010788351,1249.0941,0.002118513,0.026953628,472.47308,1516.4805,0.118792005,1289510800.0
6,1148.382,0.000119198485,0.011040897,1175.5712,0.0014009457,0.02221675,440.6685,1311.331,0.09940224,742237100.0
7,1154.4961,0.00029484893,0.012970257,1189.424,-0.001825421,0.026730567,480.37552,1491.1653,0.115742505,6820858400.0
8,1127.1764,0.0001219219,0.015797956,1169.386,-0.0009250198,0.0211587,471.44928,1442.2175,0.10929256,7528739000.0
9,1090.3982,-0.00019311353,0.011572848,1177.9205,0.005934482,0.020183897,424.49045,1216.485,0.08584537,2373235000.0
10,1060.0001,0.00020621906,0.010634543,1154.4637,0.0036696987,0.018185755,412.00107,1139.2922,0.077736214,4372773000.0
11,1071.4028,0.00031483156,0.014039981,1101.958,-0.0014990147,0.022188898,417.9566,1259.7869,0.08478547,340741570.0
12,1028.1501,8.64418e-06,0.010295148,1094.4504,-0.0003954619,0.017823432,398.0682,1157.999,0.071877226,513071520.0
13,1082.9675,0.00076072814,0.032336395,1570.4175,-0.024514383,0.466045,426.1464,1240.2185,0.1318693,2746702.5
14,1013.0922,-0.0002688032,0.015896823,1065.2363,0.00023635413,0.016607808,382.44293,1086.3727,0.062239528,4361436000.0
15,937.64417,-8.925297e-05,0.006073621,1060.8325,0.00047478397,0.014216814,341.68042,952.9393,0.041457634,169114220.0
16,907.459,2.3705801e-05,0.005541382,1032.5476,-0.00056276674,0.00862588,355.72623,962.1188,0.047809273,182158380.0
17,892.41473,3.1753865e-05,0.005952296,1047.9911,-0.00013407596,0.007965854,397.58585,1134.9312,0.06502244,3097722400.0
18,888.3226,8.6975466e-05,0.006712985,1065.8746,-0.0015981308,0.011282108,368.2979,1011.6213,0.05356381,282048480.0
19,862.7357,5.392641e-05,0.0066457414,1052.5471,-0.00028133558,0.009909514,366.46072,1048.3644,0.052861776,139328510.0
20,856.1337,6.0192415e-05,0.0074348375,1056.0487,-0.00042380864,0.010549508,372.13547,1035.5319,0.05357889,342727100.0
21,835.81116,5.2567652e-06,0.0073455,1048.0957,-0.00058004586,0.010319467,368.43997,1040.3854,0.05163466,221795660.0
22,822.40436,-7.701786e-06,0.0076398742,1049.4213,-0.0002894065,0.010650665,351.0159,987.4411,0.047718517,35736764.0
23,801.3063,6.794066e-05,0.007438716,1030.9635,-0.0009370284,0.011196027,346.39282,989.4013,0.047898944,25601604.0
24,786.4803,3.1635445e-05,0.0074247224,1047.6227,-0.0007495276,0.01273998,331.6046,861.24817,0.041896425,11410080.0
25,778.38086,5.373457e-05,0.00825503,1062.7499,-0.000802925,0.014107587,332.53296,902.5598,0.045570917,11631299.0
26,788.62384,5.1524767e-05,0.011045759,1053.6157,-0.0013640907,0.013383761,333.5612,947.27704,0.040805195,18893486.0
27,763.0008,2.8798688e-05,0.008828013,1048.6171,-0.0012724006,0.013725927,324.29474,850.57904,0.040269192,9452265.0
28,724.99664,5.4967504e-06,0.00705139,1060.6439,-0.00089675153,0.01611296,328.07812,892.6381,0.04234385,13553960.0
29,699.4908,3.974077e-05,0.0066760145,1042.6396,-0.0009267891,0.013131808,335.75848,896.3088,0.044794377,27226362.0
30,693.6399,1.5110357e-05,0.008080568,1067.1565,-0.0008267372,0.015069189,332.67783,864.39575,0.04400151,13956821.0
31,679.32477,3.860002e-05,0.007971385,1061.8447,-0.0017957084,0.016476337,329.09128,889.4296,0.044072967,21890986.0
32,704.57245,0.0001324228,0.012579972,1132.7491,-0.0010943771,0.019167539,297.97137,773.4045,0.03527305,2288082.2
33,663.89496,1.1339706e-05,0.0074482085,1055.9799,-0.0015076232,0.014254687,321.69214,882.78723,0.042130347,10138840.0
34,628.44366,-3.6848764e-05,0.0067158113,1067.5682,-0.001228993,0.017076803,329.79465,820.87085,0.04243279,9140357.0
35,617.1358,6.491611e-05,0.007096814,1084.0457,-0.00175787,0.01861877,315.93567,795.00525,0.04368197,5134848.0
36,603.76306,3.823093e-05,0.0073545515,1077.3652,-0.0012878511,0.018814707,330.93414,881.8182,0.045730017,17170050.0
37,587.55524,3.0733776e-05,0.0070226067,1080.1029,-0.0017573796,0.020304468,320.92953,882.5223,0.04336727,6621175.0
38,588.5473,3.208823e-05,0.008352212,1111.7458,-0.0012378636,0.023052061,315.65805,781.83624,0.040943444,4234512.0
39,575.76996,4.650923e-05,0.008567813,1090.5667,-0.0012636884,0.02125649,317.523,839.77246,0.042973936,4086947.2
