Epoch,Train Loss,Train Grad,Train Grad Var,Val Loss,Val Grad,Val Grad Var,FID_inf,MIFID_inf,KID_inf,IS_inf
0,4318.9814,0.0025281708,0.50530016,2276.892,0.00042211477,0.03646566,400.96457,1260.5065,0.13949934,41135.33
1,1929.956,1.2372435e-05,0.036659703,1682.2628,0.004198281,0.022638235,519.967,1680.363,0.15129633,6510097000.0
2,1507.9218,0.00034512804,0.019441832,1464.9344,0.003152331,0.013656726,501.0669,1566.8662,0.1369243,1875838500.0
3,1370.7982,9.350889e-05,0.0165589,1366.0061,0.0020652188,0.01500585,520.1358,1594.4565,0.14904822,6883019000.0
4,1314.9783,0.00060489814,0.018345023,1318.0912,0.0006381548,0.012456434,456.88187,1339.4006,0.11301867,1115005700.0
5,1221.7662,6.6878914e-05,0.01238214,1255.6514,-6.752161e-06,0.01104444,483.1537,1480.0099,0.12036154,2986053400.0
6,1162.9305,0.00014510652,0.011313564,1155.367,-0.004547531,0.0074885995,432.9423,1311.889,0.09669709,478115140.0
7,1110.4446,6.737399e-05,0.010086012,1147.1614,-0.0033392615,0.008864997,451.34723,1386.3853,0.10516446,656894900.0
8,1110.5464,0.00013493726,0.013810572,1161.9365,0.00040144552,0.011614228,459.7175,1340.8894,0.103217885,3889197000.0
9,1078.3627,0.00018894115,0.011100685,1129.1829,-0.0009321823,0.0098293945,418.7643,1220.8806,0.08417977,486281250.0
10,1093.0928,0.00016870273,0.020279553,1107.9558,-0.00069979334,0.008062839,441.0745,1289.4341,0.09054592,2992101400.0
11,1035.1049,7.731085e-05,0.010951687,1115.3175,-0.00078705413,0.009693738,421.24573,1234.9923,0.08058594,874920800.0
12,1017.32623,7.7784396e-05,0.011195344,1099.707,-0.0009003356,0.010114033,415.77466,1228.621,0.07847313,718569700.0
13,1005.106,3.2672964e-05,0.012085089,1097.4534,-0.0010751123,0.010930154,382.5756,1212.9646,0.061651707,114399380.0
14,971.8228,0.00017275377,0.009521749,1089.5857,-0.0004583649,0.008907133,394.4539,1086.0355,0.06799725,430014460.0
15,950.9141,2.6718466e-05,0.009674135,1072.2694,-0.00039476439,0.010378561,373.37717,1037.9838,0.06114925,98964910.0
16,945.8836,5.4579727e-05,0.011727776,1064.8674,-0.001037132,0.00964567,330.4548,897.993,0.03781013,20228396.0
17,912.5698,6.430572e-05,0.009949305,1070.0363,-0.0011922505,0.009244257,365.57812,1004.3796,0.05432942,144363090.0
18,901.3395,0.00014782567,0.00992878,1052.6501,-0.00055085815,0.008299095,355.7106,986.3571,0.051969152,44050610.0
19,865.11383,-3.7098776e-05,0.00826511,1065.8115,-0.00077834027,0.012191628,344.70865,964.5332,0.050041683,30907070.0
20,871.23846,7.588673e-05,0.010667905,1060.4199,-0.0009942917,0.013264704,336.92834,924.3928,0.04461529,17548140.0
21,880.10864,0.00012948376,0.011344738,1038.4889,-0.001618618,0.00910842,321.62534,908.4395,0.034674678,19684206.0
22,815.6984,6.508094e-06,0.0066201887,1033.1816,-0.00013486075,0.008542657,320.32703,870.29407,0.03220114,12023326.0
23,775.5929,1.9346124e-05,0.0054355306,1023.2542,-0.0011459779,0.008867449,339.64035,884.49677,0.042825088,55074460.0
24,765.1801,-1.6787129e-06,0.006391422,1062.5232,-0.00047414293,0.011610124,323.42587,861.563,0.036346078,11664042.0
25,751.00006,9.388816e-05,0.006214201,1038.91,-0.00078272785,0.010153759,339.70187,917.7263,0.04200507,50022148.0
26,743.1452,6.192486e-05,0.007002013,1064.4124,-0.0005583196,0.01241346,337.43796,863.34503,0.042179495,25244386.0
27,737.21124,4.2941498e-05,0.007970459,1051.3049,-0.0007754506,0.013231252,329.64908,825.6769,0.039136462,17424144.0
28,703.29016,4.60064e-05,0.0066491175,1041.2036,-0.00081532536,0.012150928,332.65964,842.59705,0.043587998,21408920.0
29,686.44415,4.3485066e-05,0.0069827847,1057.1655,-0.00049261097,0.014292559,342.65497,894.023,0.043000154,19070790.0
30,668.86957,6.407262e-05,0.0068810186,1063.9679,-0.0006659297,0.014393156,325.34332,875.7076,0.04082275,14328449.0
31,666.30133,1.44215965e-05,0.00798788,1069.589,-0.000113796435,0.014700058,338.868,866.63354,0.041552994,34558796.0
32,646.6622,9.1680755e-05,0.0073621753,1080.4359,-0.00073221925,0.015323443,330.93607,886.8612,0.04097247,27984496.0
33,632.9955,7.228024e-05,0.0075929123,1069.3536,-0.0010191778,0.017231422,335.12802,862.15753,0.04646555,15348944.0
34,625.44684,2.2723396e-05,0.008004672,1073.3821,-0.0009148009,0.015708279,332.37704,855.8883,0.042008102,16336759.0
35,617.22766,7.3414936e-05,0.008353983,1075.1722,-0.00070000667,0.015851814,336.4231,842.00214,0.04600631,15764877.0
36,590.2279,2.0096099e-05,0.0070899124,1070.8271,-0.00093133317,0.016937952,331.66077,841.0889,0.044555984,17075016.0
37,577.38806,6.0110746e-05,0.007413388,1090.9705,-0.0009851382,0.01752541,325.60608,829.94226,0.044390596,7532620.5
38,578.41003,4.6821333e-05,0.008431338,1094.664,-0.0010418992,0.018712424,325.54175,800.7569,0.04481519,9521191.0
39,580.42267,2.8166685e-05,0.008928353,1109.5466,-0.00052729726,0.01939589,329.96112,867.2568,0.0455753,13380133.0
