Epoch,Train Loss,Train Grad,Train Grad Var,Val Loss,Val Grad,Val Grad Var,FID_inf,MIFID_inf,KID_inf,IS_inf
0,4142.5835,0.0009795624,0.39261547,2140.7598,-0.0018447238,0.027885366,433.6785,1427.0023,0.1463701,552527.9
1,1926.7262,0.0007043533,0.055265952,1815.8468,0.013826985,0.04955242,507.51947,1637.717,0.14333181,1767988500.0
2,1535.2687,0.0003804726,0.021527037,1422.0892,-0.001030556,0.011135196,515.37024,1716.8862,0.14524515,3763320000.0
3,1358.8748,0.00017888597,0.015535626,1352.9053,-0.0016199376,0.012225458,504.26068,1535.8842,0.13453786,8314584600.0
4,1276.2659,0.00027468926,0.012786946,1254.4222,-0.005167105,0.010163016,490.2328,1508.1007,0.12804174,6927593000.0
5,1237.6516,0.00013709298,0.014988393,1280.4612,0.0013149149,0.020206295,463.67133,1364.3298,0.114279,1993544200.0
6,1189.5266,0.00015246269,0.0128898155,1183.1709,-0.0010115197,0.010189051,456.67844,1393.7848,0.10267759,6399815000.0
7,1134.9371,0.000104520106,0.011640106,1174.128,0.000117280666,0.010157811,467.01825,1379.2722,0.108189374,18859330000.0
8,1120.6725,0.00021423852,0.012903163,1136.9506,-0.00013005636,0.010824029,426.9619,1226.5354,0.085007675,1613322200.0
9,1068.5806,0.00012621532,0.0114893215,1113.0654,-0.0010378149,0.00847333,389.80246,1134.7786,0.069528304,158754000.0
10,1052.8213,0.00018154598,0.011256848,1163.5426,-0.0017507714,0.012016287,425.33383,1251.193,0.08896786,274957400.0
11,1050.1973,-2.2883978e-05,0.01255148,1156.3391,-0.00030837065,0.01156835,407.53754,1215.5542,0.07475055,1192374800.0
12,1021.43146,1.3906443e-05,0.009952455,1132.0243,-0.0004143667,0.014264664,402.51083,1175.6295,0.07219636,791882600.0
13,1030.0697,0.00019651766,0.012398287,1118.6261,-0.0025083856,0.01210022,404.77786,1174.3882,0.07428324,451503140.0
14,1001.4895,4.433698e-05,0.010909538,1134.2828,-0.00044205584,0.012094037,395.0629,1114.5726,0.070498034,232369600.0
15,980.60406,4.2030428e-05,0.010680479,1106.5237,-0.0014396863,0.010678641,396.57626,1077.5199,0.06839451,671637900.0
16,972.73376,7.1723407e-06,0.013440101,1076.2997,-0.0005026258,0.010522314,311.9454,876.1971,0.03501845,7539044.5
17,902.74084,0.00011199578,0.007783517,1037.1249,-0.0015392684,0.008164672,329.89053,862.05145,0.03928903,19015068.0
18,874.8322,-4.5287677e-05,0.006573884,1053.9353,-0.00047130178,0.008960302,356.98502,965.16125,0.04759555,222919090.0
19,894.65015,6.68113e-05,0.008625111,1070.332,-0.0011554533,0.0107742185,355.90448,1030.2974,0.051944457,58430090.0
20,868.394,2.6815036e-05,0.009122384,1051.5359,-0.0014894522,0.01171109,349.03983,927.25995,0.05007672,24526818.0
21,873.7106,9.472017e-05,0.011905063,1064.1729,-0.001787429,0.010825641,309.07742,836.87494,0.03444857,3590985.8
22,817.58575,3.7961378e-05,0.0066334433,1042.7618,-0.0012394445,0.009050517,325.2901,863.9985,0.041294448,9018165.0
23,827.40497,4.9787122e-05,0.008191272,1104.2009,-0.0005746761,0.011908659,340.35464,884.27295,0.041008778,40657304.0
24,828.7217,3.01662e-05,0.009655896,1041.591,-0.0010491818,0.008839517,350.69498,948.88806,0.046323642,64611784.0
25,763.4776,3.4962184e-05,0.006535798,1036.4458,-0.0012359277,0.010040601,348.34268,886.8069,0.049313046,45632724.0
26,741.0943,7.2627004e-06,0.006646857,1045.645,-0.0012421402,0.0124730645,359.08582,1062.7343,0.051526923,75583650.0
27,726.5829,3.943096e-05,0.007401407,1049.5868,-0.0011423886,0.013040775,362.04443,963.6294,0.053244073,92446930.0
28,710.38116,2.0983078e-05,0.006957715,1046.4363,-0.0012855589,0.013273652,351.96387,891.5434,0.049312968,53537900.0
29,693.54236,-5.1555657e-05,0.0069988673,1062.0242,-0.0008370746,0.014696975,320.3121,874.28546,0.04091909,7319015.5
30,711.8389,0.00010343983,0.010231172,1079.1521,-0.0008486019,0.015056762,332.07272,943.94476,0.042499173,15627349.0
31,684.78815,0.00011991757,0.00855093,1055.172,-0.0015264106,0.014925608,334.58688,872.8639,0.04599327,17009670.0
32,670.4891,3.2533455e-05,0.008662181,1056.1187,-0.0015307408,0.014428282,332.02295,849.18365,0.04349733,13148248.0
33,667.2774,-1.1667357e-06,0.009342034,1094.6552,-0.001077432,0.018613223,318.4761,923.1064,0.038735554,3961069.5
34,646.15875,5.9420123e-05,0.007699639,1084.3905,-0.001038239,0.015918108,319.87997,801.3058,0.042025387,6985577.5
35,623.2247,1.9719953e-05,0.0072719697,1079.3607,-0.0016429176,0.017706288,321.98465,803.1866,0.04400919,7076865.0
36,620.06134,4.9724862e-05,0.0083596315,1093.8369,-0.001288933,0.018046897,314.92865,811.01,0.039345536,6001485.0
37,627.28937,5.3603115e-05,0.009664608,1094.1299,-0.0015119179,0.018634368,305.04178,798.7058,0.035749786,2122338.5
38,614.3516,1.0213383e-05,0.009526895,1087.103,-0.0015144186,0.017803289,302.25345,786.2722,0.037143953,3318892.0
39,600.22174,7.566015e-05,0.00912776,1078.4418,-0.0018785887,0.017316567,315.42114,786.81793,0.04059356,4453010.5
