Epoch,Train Loss,Train Grad Var,Val Loss,Val Grad Var,FID_inf,MIFID_inf,KID_inf
0,97790050.0,9798610.0,44806660.0,427405.25,415.22415,1103.9619,0.2273311
1,88732560.0,176911.56,43828268.0,123442.805,408.81818,965.5555,0.2188555
2,87475610.0,132398.1,43157268.0,122656.47,372.04095,816.2879,0.19674073
3,86498860.0,155197.66,42673684.0,100680.36,362.42108,756.143,0.1898386
4,86137580.0,142877.88,42572610.0,108176.88,382.11005,767.80896,0.20079312
5,85986930.0,131581.03,42532850.0,124355.2,384.77295,785.73364,0.20824252
6,85607760.0,116454.516,41435772.0,107342.23,368.83154,781.22974,0.1583625
7,79626860.0,210556.75,35164996.0,196674.62,264.3084,566.7466,0.08160823
8,47721884.0,312576.7,3446203.2,219018.75,342.15756,744.3122,0.13287608
9,-78142910.0,602349.6,-99814940.0,556450.94,349.67206,700.6752,0.13476367
10,-431402850.0,2432635.5,-367135170.0,2261748.5,322.4958,656.4568,0.12393919
11,-1250440200.0,11250450.0,-968539260.0,10946583.0,433.0207,933.6192,0.17390344
12,-2808139000.0,127446850.0,-2049684600.0,71442920.0,416.79596,987.47766,0.17984582
13,-5600265700.0,239508640.0,-3852013600.0,105736664.0,406.12262,898.9987,0.17265558
14,-10011734000.0,284179330.0,-6656866300.0,238743540.0,336.38394,848.2766,0.12933531
15,-16588092000.0,642994940.0,-10239248000.0,435069630.0,332.47397,715.18994,0.13005084
16,-25010794000.0,1186559100.0,-16688817000.0,1048454850.0,412.37543,1076.985,0.19444017
17,-38291673000.0,2450196500.0,-20614097000.0,1171902800.0,343.80325,743.05176,0.14093126
18,-52449935000.0,3944706800.0,-30102321000.0,2433429500.0,380.90005,961.64594,0.1684473
19,-72132310000.0,6515360000.0,-42137250000.0,4112872000.0,359.73358,793.38324,0.15672745
20,-101349200000.0,11537267000.0,-59698745000.0,7933114000.0,369.26904,793.391,0.16450348
21,-131294660000.0,17559950000.0,-66380145000.0,7524018000.0,348.84302,845.1964,0.14665942
22,-176762260000.0,28471075000.0,-104779950000.0,19091192000.0,444.04984,1072.7863,0.2088109
23,-213768340000.0,38176182000.0,-122998194000.0,24150240000.0,404.64383,875.55,0.17143296
24,-273400610000.0,57156555000.0,-175265660000.0,44828013000.0,402.09283,961.4151,0.17565814
25,-342467540000.0,82619640000.0,-205947680000.0,56311620000.0,348.11023,724.9068,0.15223455
26,-414127950000.0,110277750000.0,-264459440000.0,89021760000.0,346.06607,729.68256,0.14729457
27,-476910200000.0,138952340000.0,-249834500000.0,68445700000.0,373.49966,863.4145,0.16424207
28,-647678660000.0,231787840000.0,-382395680000.0,161578940000.0,333.62674,782.31024,0.1437311
29,-755543500000.0,294032380000.0,-396684530000.0,149282950000.0,381.03308,892.04877,0.16015822
30,-844487500000.0,352596750000.0,-409886000000.0,148794650000.0,355.63458,810.3322,0.14953473
31,-1047813700000.0,486820940000.0,-588485200000.0,331716430000.0,355.0966,754.10614,0.14661783
32,-1089291400000.0,508624440000.0,-621988900000.0,319793660000.0,344.30515,750.40375,0.13169989
33,-1355088400000.0,741557670000.0,-607778770000.0,256585270000.0,353.73523,834.28186,0.1484442
34,-1493919300000.0,872848700000.0,-708386360000.0,346099840000.0,370.27652,828.9447,0.15641245
35,-1786641800000.0,1143524600000.0,-907367000000.0,585249850000.0,337.9252,705.5493,0.14284927
36,-2045913900000.0,1433833600000.0,-1177499900000.0,908724100000.0,360.0171,746.5755,0.1567801
37,-2392338700000.0,1828228600000.0,-1115815800000.0,765220900000.0,350.75623,762.98425,0.14206517
38,-2619242200000.0,2110518900000.0,-1381096800000.0,1126129900000.0,331.47543,701.5719,0.12482957
39,-2937135600000.0,2483657000000.0,-1850511900000.0,2024575500000.0,373.3989,871.0394,0.15186055
40,-3398618600000.0,3205408800000.0,-1837515500000.0,1815608400000.0,330.67435,661.505,0.12370329
41,-3732809400000.0,3781322300000.0,-1936971500000.0,1984542800000.0,345.97787,801.1471,0.13710254
42,-3859629200000.0,3829807700000.0,-1907782000000.0,1799857800000.0,357.45636,873.0009,0.14336194
43,-4723038000000.0,5433529500000.0,-2353599300000.0,2582661300000.0,360.08585,790.5491,0.156921
44,-4694517000000.0,5317934400000.0,-2625883900000.0,3174682600000.0,328.27643,704.68945,0.13707064
45,-5803193000000.0,7463499000000.0,-2770955100000.0,3562809600000.0,343.23605,728.23883,0.14655331
46,-5474325000000.0,6469032300000.0,-3490369800000.0,5314848000000.0,386.78488,920.04865,0.16343376
47,-6448108000000.0,8814993000000.0,-4489218600000.0,8469543400000.0,365.13904,809.90717,0.1546707
48,-7046861700000.0,10447221000000.0,-4371885900000.0,7791366400000.0,341.13373,802.0613,0.14208136
49,-8056384000000.0,12762473000000.0,-4102546300000.0,6304086000000.0,338.9738,720.1559,0.1437882
