Epoch,Train Loss,Train Grad Var,Val Loss,Val Grad Var,FID_inf,MIFID_inf,KID_inf
0,1971.4,0.0002784498,762.55225,4.526165e-05,341.43912,818.44006,0.1589793
1,1900.8436,0.00010103959,746.2991,3.5246772e-05,398.87485,1057.4897,0.19717325
2,1868.5264,8.801065e-05,734.17236,3.3911594e-05,399.02985,1061.5035,0.20034035
3,1844.7537,8.134647e-05,726.80554,3.819645e-05,391.05737,943.79395,0.17898053
4,1828.9116,7.8912664e-05,721.4857,3.9907827e-05,366.12616,835.1588,0.16155571
5,1815.2681,7.894758e-05,717.72095,3.2250675e-05,360.07828,812.42725,0.16189946
6,1808.3668,7.20285e-05,713.6489,2.9889448e-05,366.4115,858.4761,0.1587279
7,1801.148,7.0949085e-05,711.19336,3.302197e-05,362.3056,917.7347,0.15583387
8,1795.8181,6.999716e-05,707.2982,2.783794e-05,370.03598,885.7669,0.15959309
9,1790.314,6.804538e-05,705.439,2.6866952e-05,362.96283,872.70197,0.15884921
10,1785.6399,6.474205e-05,703.6466,2.5403335e-05,351.7951,814.43024,0.1484557
11,1779.739,6.770471e-05,698.645,2.6604888e-05,360.41605,861.4658,0.1513201
12,1774.0273,6.874208e-05,697.2416,2.8093547e-05,361.1501,930.27765,0.14821972
13,1766.1248,6.90552e-05,694.6794,3.354383e-05,372.13925,961.3683,0.14988545
14,1758.2717,7.334898e-05,690.96936,3.3194312e-05,382.44485,1031.4657,0.15410346
15,1752.415,6.9344205e-05,688.23486,3.5031604e-05,375.50705,971.66925,0.15125586
16,1748.606,7.124995e-05,687.3394,3.582506e-05,375.62277,965.8099,0.14716363
17,1744.9187,7.0209666e-05,685.89954,3.3010037e-05,373.67108,924.37335,0.15520915
18,1740.5498,7.0087524e-05,684.28204,3.593988e-05,362.23846,861.6805,0.14668557
19,1739.0984,7.270121e-05,683.4575,3.537334e-05,342.5997,803.7786,0.13978069
20,1737.9045,7.6185315e-05,682.7085,3.739325e-05,339.55838,770.4754,0.13427053
21,1734.5188,7.782615e-05,681.2175,3.6118294e-05,313.5228,695.4797,0.11762232
22,1731.8972,7.195622e-05,681.1587,3.827961e-05,315.33585,691.1032,0.115426846
23,1730.8462,7.346747e-05,680.66736,3.4970413e-05,307.41348,675.49976,0.10864835
24,1731.0046,7.215799e-05,678.72723,3.9974468e-05,312.4523,652.417,0.11014366
25,1729.0842,7.5058866e-05,678.51843,3.775757e-05,312.06107,676.1663,0.10778931
26,1728.7637,7.539333e-05,677.9364,3.6267767e-05,304.0502,636.5073,0.103084646
27,1725.7346,7.684806e-05,677.37085,3.3189048e-05,295.13998,630.0329,0.103282765
28,1725.3972,7.745538e-05,676.9977,3.692934e-05,298.1894,622.82983,0.10059733
29,1726.0068,7.550925e-05,677.41943,3.4277364e-05,296.88074,651.0059,0.102755226
30,1724.1211,7.192276e-05,676.7153,3.27928e-05,291.4601,602.8619,0.09942773
31,1722.2478,7.168317e-05,675.8611,3.543525e-05,299.41724,649.09985,0.10180421
32,1722.6667,7.305509e-05,675.41943,3.3563036e-05,293.7683,608.2244,0.1015431
33,1722.791,7.210074e-05,674.9251,3.3748198e-05,290.21927,603.22375,0.10322641
34,1721.3625,6.971483e-05,674.9517,3.242562e-05,289.33398,609.0866,0.102819495
35,1720.5809,7.30997e-05,675.0802,3.4925582e-05,291.19565,586.6011,0.10422876
36,1719.6252,7.267963e-05,674.66003,3.4468692e-05,290.66406,593.7642,0.10911963
37,1720.0726,7.02774e-05,674.38696,3.2503736e-05,295.36948,607.65985,0.102758296
38,1718.9215,6.9865084e-05,674.7339,3.4066492e-05,286.59485,589.6764,0.102617875
39,1718.8553,6.785051e-05,674.55273,3.5188586e-05,296.4693,601.0206,0.105548196
40,1718.4517,6.806073e-05,674.6892,3.4169563e-05,291.26642,630.0149,0.10483211
41,1718.327,6.913066e-05,674.0033,3.486165e-05,291.6333,590.87494,0.107984535
42,1718.1255,6.688255e-05,674.18945,3.5863457e-05,300.1157,635.07324,0.1117349
43,1717.3344,6.968281e-05,673.36475,3.585364e-05,282.78946,597.33484,0.108181566
44,1716.2642,6.787271e-05,673.8721,3.3227363e-05,293.1612,621.9338,0.107235745
45,1716.0431,6.732688e-05,674.566,3.4978493e-05,299.52435,644.0814,0.11129819
46,1716.538,6.857025e-05,673.64813,3.560961e-05,289.94052,605.4363,0.11049243
47,1716.4392,6.638031e-05,673.59155,3.6280726e-05,296.31595,622.93115,0.113960214
48,1715.8573,6.528816e-05,673.7545,3.466631e-05,300.20435,614.1181,0.11286568
49,1715.8048,6.722071e-05,673.65045,3.5767844e-05,292.0776,594.5819,0.1131923
50,1714.6956,6.5806635e-05,673.3457,3.499495e-05,294.22092,606.884,0.11291658
51,1715.5187,6.594062e-05,672.99744,3.571295e-05,296.93192,626.4735,0.113482915
52,1714.8861,6.48375e-05,672.60986,3.4763973e-05,300.1976,592.67865,0.11661621
53,1714.5847,6.580961e-05,672.584,3.5054094e-05,303.3442,625.4811,0.11931255
54,1715.0066,6.609243e-05,673.0839,3.512048e-05,293.71753,668.0777,0.12021615
55,1713.3083,6.4807246e-05,672.7062,3.531898e-05,294.13535,617.5765,0.117869735
56,1713.963,6.45383e-05,673.33734,3.584026e-05,294.50793,615.2749,0.11405575
57,1713.8068,6.426081e-05,672.89246,3.433343e-05,300.9002,635.3364,0.121028595
58,1713.303,6.462702e-05,672.1516,3.5768953e-05,307.73206,628.672,0.12333823
59,1713.2123,6.2837964e-05,672.6338,3.5014848e-05,293.92004,600.1936,0.1189874
60,1712.9521,6.347844e-05,672.59753,3.4692985e-05,301.5184,673.6968,0.120056994
61,1712.3877,6.367392e-05,672.8262,3.6029094e-05,289.88806,611.139,0.115642585
62,1712.5193,6.245074e-05,672.6407,3.4951052e-05,301.37384,636.37476,0.118227296
63,1712.7303,6.308516e-05,673.3743,3.5009005e-05,298.27396,623.079,0.116361074
64,1712.7821,6.215343e-05,672.51184,3.4928747e-05,301.06754,628.8276,0.12022482
65,1713.3164,6.267117e-05,672.3285,3.5173936e-05,298.7646,614.736,0.1184573
66,1712.4243,6.145638e-05,672.405,3.564243e-05,299.3286,632.8785,0.11949884
67,1712.5735,6.1026905e-05,672.1785,3.526023e-05,298.4522,611.7986,0.11894857
68,1711.8977,6.1940154e-05,671.948,3.4924426e-05,288.8012,586.95386,0.11720821
69,1711.5491,6.175255e-05,672.4891,3.484456e-05,295.58743,622.3417,0.12088045
70,1711.927,6.106198e-05,672.3699,3.4930486e-05,290.14355,581.96814,0.12005562
71,1711.7452,6.113429e-05,671.96655,3.4682573e-05,297.4769,672.204,0.12415097
72,1711.221,6.142927e-05,672.7085,3.5155303e-05,299.9153,624.72186,0.1221
73,1710.6709,6.0325656e-05,671.8522,3.4724315e-05,291.09467,588.7431,0.1151575
74,1711.6348,6.211604e-05,672.2391,3.4707195e-05,306.65494,644.43884,0.12402555
75,1711.4023,6.000688e-05,671.85315,3.4755918e-05,298.39005,619.9677,0.12207007
76,1710.762,6.073044e-05,672.2156,3.5746663e-05,303.83157,626.1562,0.11950543
77,1711.2234,6.0620863e-05,672.2061,3.5316752e-05,303.30862,638.29254,0.12184544
78,1710.9012,5.9708687e-05,671.67175,3.4875426e-05,303.43542,618.48315,0.122120544
79,1711.1152,5.849827e-05,671.8681,3.5806057e-05,298.42453,608.08356,0.11904182
80,1711.122,5.9328217e-05,671.3205,3.49666e-05,298.54443,625.44885,0.12121227
81,1711.1584,6.0547158e-05,671.6426,3.4787074e-05,288.0026,590.26886,0.119648755
82,1710.9641,6.0010116e-05,672.3872,3.4855297e-05,303.73166,627.53564,0.12278181
83,1710.7041,6.098505e-05,671.2347,3.5388897e-05,303.7177,632.7627,0.124373294
84,1710.1456,5.960258e-05,671.48535,3.5025176e-05,296.61285,641.96246,0.12370853
85,1711.2322,5.9557453e-05,671.3451,3.515317e-05,305.36264,637.72833,0.12138933
86,1710.2029,5.8750113e-05,672.0272,3.3977434e-05,318.1154,686.4313,0.13002856
