Epoch,Train Loss,Train Grad,Train Grad Var,Val Loss,FID_inf,MIFID_inf,KID_inf,IS_inf
0,119094.8,-0.0035288709,6.183999,117542.266,390.99326,1273.1747,0.1290566,302640220.0
1,117459.99,0.0008855399,0.99572474,117321.484,311.15723,947.69275,0.08662098,2436989.0
2,117320.9,0.000662171,0.65389866,117247.2,297.55106,794.4653,0.07604765,1726857.9
3,117329.12,0.0004396348,0.59404767,117168.766,278.8282,740.34247,0.06820833,223739.44
4,117175.82,0.0004884504,0.3746336,117158.38,276.84055,720.72906,0.0625629,507469.44
5,117161.39,0.00038682504,0.37400973,117160.016,261.94003,611.96124,0.06310837,36704.906
6,117219.23,0.0014271671,0.52489036,117827.83,322.1668,896.91394,0.075227134,91066390.0
7,117756.43,0.019631041,5.4191036,117641.99,318.89343,902.9781,0.07372299,87319400.0
8,117791.19,-0.002937007,0.61239386,117836.96,252.20387,606.04034,0.06433758,3162.8928
9,117844.0,-0.0022145084,0.9205941,117625.18,309.80203,903.56696,0.06566229,132137576.0
10,117360.625,0.0005981069,0.5024529,117335.1,282.7709,768.3394,0.0532235,15359726.0
11,117342.23,0.00089020835,0.40407565,117272.945,305.25165,845.42255,0.04990857,4458601500.0
12,117299.86,0.00048052522,0.3687364,117235.805,279.794,762.297,0.045261394,177650000.0
13,117455.86,0.00071207754,0.50552595,117496.17,302.81262,848.38306,0.04725583,3762007300.0
14,117886.27,-0.0012973413,0.5941487,118421.836,363.18976,1000.9478,0.06883796,2606547600000.0
15,118288.15,-0.0008892249,0.6702826,118418.17,255.58429,545.4102,0.045885548,1001174.3
16,118085.31,0.00043408907,0.42969763,117929.12,260.30966,616.6573,0.041763425,6848562.0
17,118001.875,0.00068640674,0.394662,118414.47,289.4474,752.8608,0.04691695,283988320.0
18,118773.79,-0.0013417524,0.460741,118808.41,307.15103,822.3287,0.052232057,1610073700.0
19,118804.4,-0.00026089294,0.47295076,118822.84,261.5243,653.11926,0.040524904,8457386.0
20,118663.56,0.0006254652,0.46255955,118467.805,256.97906,588.9965,0.039947625,4376017.0
21,118237.27,0.000861947,0.43595627,118196.945,259.9452,608.7603,0.037777457,12827759.0
22,118030.266,0.00072294584,0.46805754,118161.29,251.5407,578.47943,0.036781445,4341001.0
23,117981.414,0.0006502304,0.48676035,117878.16,289.85022,782.98456,0.043349307,5027106300.0
24,117853.3,0.0006532536,0.37249616,117720.31,267.1429,647.04425,0.03764133,110869170.0
25,118272.96,-0.0007255994,0.40081108,118234.21,269.27716,663.11554,0.038153946,135131740.0
26,118512.99,-0.000524142,0.4121124,118692.37,272.482,624.3988,0.03759825,314871970.0
27,118851.91,-0.0008010024,0.46301556,119028.914,265.61932,603.5423,0.03811219,57545640.0
28,118881.3,-8.388358e-05,0.47410434,118997.15,265.48206,607.3285,0.03781544,71075040.0
29,118915.984,-0.00016040204,0.517964,119075.734,272.83734,625.3803,0.036465753,761340860.0
30,119033.23,-9.263912e-05,0.54379296,119086.2,257.30096,645.76953,0.033864312,88605300.0
31,118968.99,0.00020078827,0.5640151,119048.336,257.51807,609.18616,0.03493737,80257496.0
32,118985.11,4.306841e-05,0.6066345,119118.94,260.71945,587.3816,0.037073165,77789130.0
33,118948.04,0.00043432094,0.61661696,119047.5,272.77075,648.93976,0.040564626,300868740.0
34,118833.45,0.00025439195,0.58621544,118888.42,256.52438,567.0521,0.03501996,27034678.0
35,118791.055,0.00029335765,0.6002907,118865.15,255.54483,573.4042,0.036879193,21259204.0
36,118686.44,0.000376421,0.5968574,118829.13,264.6026,610.8989,0.036306832,175594080.0
37,118690.19,0.00012812494,0.62200207,118869.39,257.14053,606.7942,0.03411485,60811690.0
38,118639.45,0.0005795961,0.6018012,118773.25,258.94278,617.1347,0.031420447,60576216.0
39,118582.45,0.00014136767,0.60855997,118708.42,266.5955,657.77075,0.032939505,175738900.0
40,118532.8,0.00023781961,0.64690197,118711.37,268.15775,639.596,0.039128013,131043416.0
41,118561.1,2.6880492e-05,0.6162352,118792.36,268.23694,622.26666,0.03952145,363421540.0
42,118542.89,0.00037097678,0.66794026,118700.6,272.59976,640.42523,0.037918836,541161150.0
43,118488.36,0.00016185123,0.6511714,118755.71,265.19223,617.5982,0.036630966,140390530.0
44,118477.98,0.00031162763,0.6625123,118653.42,261.84213,564.7312,0.035267834,124997360.0
45,118434.41,5.056331e-05,0.6848645,118641.94,266.23282,664.5916,0.039873052,113338440.0
46,118371.98,6.326155e-05,0.729633,118592.125,264.42288,699.2705,0.036557283,150196740.0
47,118338.02,0.0002214488,0.6878571,118554.836,271.80753,631.1946,0.03713974,197960200.0
48,118284.26,0.0002746101,0.65715206,118509.12,263.97888,675.06415,0.033182103,132695970.0
49,118257.74,0.00019607072,0.64382225,118489.484,261.4781,610.6003,0.03686839,61047460.0
